code,system
F49..13,readv2
ZV41000,readv2
F49..14,readv2
SJ0z.11,readv2
8HlE.00,readv2
F4H7300,readv2
F49z000,readv2
F490z00,readv2
F494.00,readv2
9NlD.00,readv2
F490.00,readv2
ZRhO.00,readv2
FyuL.00,readv2
F49z.00,readv2
H54,readv2
F496500,readv2
F496300,readv2
F491.00,readv2
F495500,readv2
F492300,readv2
F495300,readv2
F495200,readv2
F495800,readv2
F49..00,readv2
Z96..00,readv2
F492000,readv2
F496200,readv2
F495600,readv2
1B75.00,readv2
F496600,readv2
F49..11,readv2
F492z00,readv2
F492.00,readv2
F492200,readv2
F496100,readv2
F492400,readv2
F491300,readv2
8F61.00,readv2
8F62.00,readv2
6689,readv2
F404200,readv2
2B6B.00,readv2
6688.11,readv2
F491500,readv2
F404100,readv2
F491100,readv2
9m08.00,readv2
2B7A.11,readv2
8F6..11,readv2
2B7B.00,readv2
2B6A.11,readv2
ZRr6.00,readv2
ZK74.00,readv2
F496000,readv2
F495z00,readv2
ZN56A00,readv2
F496.00,readv2
F491000,readv2
F496z00,readv2
F495.00,readv2
ZN56800,readv2
F495A00,readv2
F491z00,readv2
F495000,readv2
F497.00,readv2
F499.00,readv2
F498.00,readv2
F491700,readv2
F492500,readv2
F496400,readv2
F49z.11,readv2
F490900,readv2
F49B.00,readv2
F49C.00,readv2
F49A.00,readv2
F490100,readv2
F490400,readv2
F490600,readv2
F491400,readv2
Z961.00,readv2
668D.00,readv2
6688,readv2
6689.11,readv2
Z962.00,readv2
9NfB.00,readv2
F490200,readv2
F490000,readv2
F495400,readv2
F495100,readv2
2BBr.00,readv2
2BBo.00,readv2
Fy1..00,readv2
F49y.00,readv2
F493.00,readv2
2B6S.00,readv2
2B7S.00,readv2
42262,readv2
104853,readv2
37086,readv2
7203,readv2
101881,readv2
2746,readv2
96455,readv2
52227,readv2
99165,readv2
32467,readv2
68386,readv2
50679,readv2
29387,readv2
99504,readv2
98935,readv2
72411,readv2
38000,readv2
20607,readv2
65144,readv2
23742,readv2
110179,readv2
54513,readv2
104666,readv2
63045,readv2
33016,readv2
98226,readv2
60401,readv2
67594,readv2
91521,readv2
100999,readv2
40451,readv2
105493,readv2
63928,readv2
100108,readv2
62657,readv2
9645,readv2
67872,readv2
25168,readv2
1990,readv2
101051,readv2
10388,readv2
69998,readv2
71319,readv2
51274,readv2
47956,readv2
37893,readv2
3852,readv2
33447,readv2
6661,readv2
55436,readv2
104087,readv2
32044,readv2
55846,readv2
52630,readv2
105206,readv2
100755,readv2
73508,readv2
33014,readv2
104077,readv2
20256,readv2
99166,readv2
54962,readv2
3851,readv2
68391,readv2
6020,readv2
98637,readv2
90766,readv2
38717,readv2
3976,readv2
55108,readv2
67126,readv2
32905,readv2
99191,readv2
55844,readv2
44954,readv2
8367,readv2
3268,readv2
25831,readv2
25547,readv2
67765,readv2
6768,readv2
60043,readv2
18819,readv2
15269,readv2
103907,readv2
1444,readv2
510,readv2
10868,readv2
73224,readv2
107912,readv2
66731,readv2
98672,readv2
105795,readv2
105665,readv2
106329,readv2